Y,X,id,obstimeJST,type
35.675,138.665,nowc_20240807070000_20240807070000_liden_69,2024/08/07 15:56:23.910,0
36.526,139.609,nowc_20240807070000_20240807070000_liden_70,2024/08/07 15:56:24.040,1
36.474,139.665,nowc_20240807070000_20240807070000_liden_71,2024/08/07 15:56:24.490,0
37.144,139.879,nowc_20240807070000_20240807070000_liden_72,2024/08/07 15:56:24.700,1
37.105,139.949,nowc_20240807070000_20240807070000_liden_73,2024/08/07 15:56:24.710,0
37.15,139.867,nowc_20240807070000_20240807070000_liden_74,2024/08/07 15:56:24.710,0
37.107,139.954,nowc_20240807070000_20240807070000_liden_75,2024/08/07 15:56:24.710,1
35.643,138.633,nowc_20240807070000_20240807070000_liden_76,2024/08/07 15:56:26.370,0
36.698,139.731,nowc_20240807070000_20240807070000_liden_77,2024/08/07 15:56:27.500,1
36.691,139.653,nowc_20240807070000_20240807070000_liden_78,2024/08/07 15:56:27.970,0
36.699,139.747,nowc_20240807070000_20240807070000_liden_79,2024/08/07 15:56:27.980,0
36.463,139.699,nowc_20240807070000_20240807070000_liden_80,2024/08/07 15:56:28.390,0
36.687,139.827,nowc_20240807070000_20240807070000_liden_81,2024/08/07 15:56:28.650,0
35.687,138.59,nowc_20240807070000_20240807070000_liden_82,2024/08/07 15:56:30.740,0
36.492,139.666,nowc_20240807070000_20240807070000_liden_83,2024/08/07 15:56:30.890,0
39.338,141.482,nowc_20240807070000_20240807070000_liden_84,2024/08/07 15:56:34.090,0
39.315,141.392,nowc_20240807070000_20240807070000_liden_85,2024/08/07 15:56:34.110,0
35.721,138.617,nowc_20240807070000_20240807070000_liden_86,2024/08/07 15:56:36.860,0
36.797,139.827,nowc_20240807070000_20240807070000_liden_87,2024/08/07 15:56:38.700,0
36.505,139.591,nowc_20240807070000_20240807070000_liden_88,2024/08/07 15:56:40.720,0
35.707,138.612,nowc_20240807070000_20240807070000_liden_89,2024/08/07 15:56:41.500,1
36.67,139.779,nowc_20240807070000_20240807070000_liden_90,2024/08/07 15:56:42.730,0
36.5,139.606,nowc_20240807070000_20240807070000_liden_91,2024/08/07 15:56:42.890,0
